2021-02-23 14:00:58.359531|0.00|231.60|0.04|0.00|50.00|0.00

2021-02-23 14:03:41.190877|0.00|231.90|0.04|0.00|50.00|0.00

2021-02-23 14:12:06.745960|0.00|232.40|0.00|0.00|50.00|0.00

2021-02-23 14:15:03.470985|0.00|230.50|0.00|0.00|50.00|0.00

2021-02-23 14:15:04.636811|0.00|230.50|0.00|0.00|50.00|0.00

2021-02-23 14:15:06.671435|0.00|230.50|0.00|0.00|50.00|0.00

2021-02-23 14:15:08.728070|0.00|230.50|0.00|0.00|50.00|0.00

2021-02-23 14:15:10.784378|0.00|230.60|0.00|0.00|50.00|0.00

2021-02-23 14:15:12.843796|0.00|230.60|0.00|0.00|50.00|0.00

2021-02-23 14:15:14.902950|0.00|230.70|0.00|0.00|50.00|0.00

2021-02-23 14:15:16.970872|0.00|231.00|0.00|0.00|50.00|0.00

2021-02-23 14:15:19.029676|0.00|231.10|0.00|0.00|50.00|0.00

2021-02-23 14:16:08.175115|0.00|230.70|0.00|0.00|50.00|0.00
2021-02-23 14:16:09.333801|0.00|230.90|0.00|0.00|50.00|0.00
2021-02-23 14:16:11.383495|0.00|230.90|0.00|0.00|50.00|0.00
2021-02-23 14:16:13.443166|0.00|231.00|0.00|0.00|50.00|0.00
2021-02-23 14:16:15.502313|0.00|230.70|0.00|0.00|50.00|0.00
2021-02-23 14:16:17.559752|0.00|230.70|0.00|0.00|50.00|0.00
2021-02-23 14:16:19.618811|0.00|231.00|0.00|0.00|50.00|0.00
2021-02-23 14:16:21.680726|0.00|230.80|0.00|0.00|50.00|0.00
2021-02-23 14:16:23.745969|0.00|230.90|0.00|0.00|50.00|0.00
2021-02-23 14:16:25.804249|0.00|230.90|0.00|0.00|50.00|0.00
2021-02-23 14:16:27.861015|0.00|230.90|0.00|0.00|50.00|0.00
2021-02-23 14:16:29.924717|0.00|231.00|0.00|0.00|50.00|0.00
2021-02-23 14:16:31.988488|0.00|231.00|0.00|0.00|50.00|0.00
2021-02-23 14:16:34.042645|0.00|230.80|0.00|0.00|50.00|0.00
2021-02-23 14:16:36.110164|0.00|230.50|0.00|0.00|50.00|0.00
2021-02-23 14:22:22.208002|0.00|228.40|0.00|0.00|50.00|0.00
2021-02-23 14:24:40.501676|0.00|228.50|0.00|0.00|50.00|0.00
2021-02-23 14:27:01.540414|0.00|232.30|0.00|0.00|50.00|0.00
2021-02-23 14:28:11.204053|0.00|232.70|0.00|0.00|50.00|0.00
2021-02-23 14:28:12.828112|0.00|232.70|0.00|0.00|50.00|0.00
2021-02-23 14:28:15.451682|0.00|232.10|0.00|0.00|50.00|0.00
2021-02-23 14:28:18.077361|0.00|232.00|0.00|0.00|50.00|0.00
2021-02-23 14:28:20.704834|0.00|232.20|0.00|0.00|50.00|0.00
